year,ppt_mean,ppt_std,tx_mean,tx_std,tn_mean,tn_std
1950.0,2.0654736673112666,7.458102451364084,20.818111091862647,6.7078755496153235,6.875507056488914,6.637058118715913
1951.0,2.0749249893635806,7.4882884029507295,20.800241751494468,6.710414093442807,6.851096588773089,6.623767385310089
1952.0,2.083986454575438,7.517267410714794,20.78373754611539,6.713130281646727,6.827889877302823,6.610985694006104
1953.0,2.09265806294718,7.545039474656733,20.768598475724502,6.7160241142272525,6.805886922080845,6.598713044804072
1954.0,2.1009398144784655,7.571604594777,20.754824540321806,6.7190955911841,6.78508772310488,6.586949437703879
1955.0,2.108831709169408,7.596962771075141,20.742415739908665,6.72234471251744,6.765492280376748,6.57569487270564
1956.0,2.1163337470201213,7.621114003551156,20.73137207448326,6.725771478227216,6.747100593894174,6.56494934980924
1957.0,2.1234459280302644,7.644058292205045,20.72169354404741,6.729375888313427,6.7299126636598885,6.554712869014907
1958.0,2.1301682522004057,7.665795637036808,20.7133801485993,6.733157942776245,6.7139284896729805,6.544985430322299
1959.0,2.136500719530204,7.6863260380469,20.706431888139377,6.737117641615384,6.699148071931631,6.535767033731531
1960.0,2.1424433300194323,7.705649495234866,20.70084876266901,6.7412549848309595,6.685571410438115,6.527057679242716
1961.0,2.1479960836686587,7.723766008600251,20.696630772186836,6.745569972423027,6.673198505190612,6.518857366855741
1962.0,2.153158980477315,7.740675578143964,20.69377791669376,6.75006260439153,6.662029356191397,6.511166096570719
1963.0,2.1579320204458554,7.7563782038660065,20.692290196188424,6.75473288073664,6.65206396343774,6.503983868387536
1964.0,2.162315203574053,7.770873885765468,20.692167610672186,6.759580801458014,6.643302326932371,6.497310682306193
1965.0,2.1663085298616807,7.784162623842803,20.69341016014414,6.764606366555938,6.635744446672561,6.491146538326802
1966.0,2.1699119993093063,7.796244418098468,20.696017844604285,6.769809576030241,6.629390322661038,6.485491436449479
1967.0,2.173125611916248,7.807119268532006,20.69999066405444,6.775190429881036,6.624239954896439,6.480345376673881
1968.0,2.175949367683188,7.816787175143418,20.705328618491876,6.780748928108437,6.620293343377853,6.475708359000123
1969.0,2.178383266609899,7.825248137932704,20.712031707918868,6.786485070712104,6.6175504881066445,6.471580383428318
1970.0,2.1804273086959256,7.832502156899864,20.72009993233314,6.7923988576922625,6.616011389081905,6.467961449958352
1971.0,2.1820814939419506,7.838549232045352,20.729533291737425,6.798490289048914,6.6156760463054525,6.464851558590226
1972.0,2.1833458223474054,7.843389363368715,20.74033178612899,6.804759364782001,6.616544459774559,6.462250709324053
1973.0,2.1842202939127446,7.847022550869497,20.752495415509657,6.811206084891637,6.618616629491498,6.460158902159719
1974.0,2.184704908637741,7.849448794548607,20.766024179879423,6.817830449377595,6.621892555454451,6.458576137097339
1975.0,2.184799666522281,7.850668094406046,20.780918079236926,6.824632458240046,6.6263722376656915,6.457502414136798
1976.0,2.184504567566705,7.850680450440905,20.797177113583984,6.8316121114789325,6.632055676122491,6.456937733278323
1977.0,2.1838196117705593,7.849485862653637,20.81480128291878,6.838769409094311,6.638942870827577,6.456882094521575
1978.0,2.182744799134298,7.847084331044698,20.833790587242675,6.84610435108624,6.647033821779132,6.457335497866779
1979.0,2.1812801296576936,7.843475855613633,20.85414502655476,6.85361693745449,6.656328528977156,6.45829794331371
1980.0,2.1794256033406327,7.838660436360442,20.87586460085504,6.861307168199232,6.666826992423012,6.459769430862707
1981.0,2.1771812201834564,7.832638073285125,20.89894931014487,6.869175043320411,6.678529212114881,6.46174996051343
1982.0,2.17454698018571,7.825408766387682,20.92339915442244,6.877220562818081,6.691435188054129,6.464239532266106
1983.0,2.1715228833478477,7.816972515668567,20.949214133689566,6.885443726692301,6.705544920239845,6.467238146120735
1984.0,2.1681089296697564,7.807329321127327,20.976394247943972,6.893844534942843,6.720858408673848,6.470745802077204
1985.0,2.164305119151095,7.796479182763505,21.00493949718748,6.902422987569821,6.737375653353411,6.474762500135512
1986.0,2.160111451792318,7.784422100578013,21.034849881420087,6.911179084573291,6.7550966542808055,6.479288240296
1987.0,2.1555279275929706,7.771158074570849,21.06612540064043,6.920112825953254,6.774021411454214,6.484323022558101
1988.0,2.150554546553508,7.756687104741104,21.09876605485033,6.929224211709709,6.79414992487591,6.489866846922041
1989.0,2.145191308673816,7.741009191089688,21.132771844047966,6.938513241842543,6.8154821945440744,6.495919713387934
1990.0,2.1394382139535537,7.724124333615691,21.168142768235157,6.947979916351869,6.838018220458707,6.502481621955781
1991.0,2.133295262393176,7.706032532320023,21.20487882740963,6.957624235237574,6.861758002620718,6.509552572625466
1992.0,2.126762453992228,7.686733787202229,21.242980021573203,6.9674461984999425,6.886701541029197,6.517132565396992
1993.0,2.1198397887512783,7.666228098262309,21.282446350725877,6.977445806138576,6.912848835685509,6.52522160027047
1994.0,2.1125272666699857,7.644515465500717,21.323277814866287,6.9876230581537015,6.940199886587834,6.533819677245788
1995.0,2.104824887748123,7.621595888917454,21.365474413996253,6.997977954545263,6.968754693737992,6.542926796323172
1996.0,2.0967326519861444,7.597469368511611,21.409036148113955,7.008510495313317,6.998513257134164,6.552542957502283
1997.0,2.0882505593837095,7.572135904283641,21.453963017220758,7.01922068045792,7.029475576778168,6.562668160783346
1998.0,2.0793786099410454,7.545595496233545,21.500255021315752,7.030108509978845,7.0616416526690955,6.573302406166135
1999.0,2.070116803658152,7.517848144361324,21.547912160398937,7.041173983876263,7.095011484806037,6.584445693650991
2000.0,2.0604651405346885,7.488893848666976,21.596934434471677,7.052417102150116,7.12958507319081,6.596098023237573
2001.0,2.050423620571223,7.458732609150957,21.647321843532154,7.063837864800405,7.1653624178220525,6.608259394926108
2002.0,2.039992243767074,7.427364425812357,21.699074387582186,7.0754362718273,7.202343518700673,6.620929808716596
2003.0,2.029171010122923,7.394789298652086,21.7521920666195,7.087212323230517,7.240528375825761,6.634109264608924
2004.0,2.017959919638429,7.361007227669688,21.806674880645915,7.099166019010227,7.279916989198682,6.647797762603091
2005.0,2.0063589723133646,7.326018212865165,21.86252282966143,7.111297359166372,7.320509358817162,6.661995302699438
2006.0,1.9943681681482985,7.28982225423897,21.919735913665136,7.1236063436989525,7.3623054846839295,6.676701884897398
2007.0,1.9819875071425486,7.252419351790195,21.978314132657943,7.1360929726081395,7.405305366796711,6.6919175091971965
2008.0,1.9692169892967968,7.213809505519748,22.03825748663803,7.148757245893648,7.449509005157324,6.707642175599062
2009.0,1.9560566146107021,7.173992715427175,22.09956597560813,7.161599163555593,7.494916399764861,6.7238758841027675
2010.0,1.942506383084151,7.132968981512477,22.162239599565964,7.17461872559403,7.541527550618412,6.740618634708312
2011.0,1.9285662947173705,7.090738303775652,22.22627835851199,7.187815932008903,7.589342457719795,6.757870427415696
2012.0,1.9142363495101336,7.047300682216701,22.291682252448027,7.2011907828003245,7.638361121067192,6.77563126222492
2013.0,1.899516547462781,7.002656116836079,22.358451281371345,7.214743277968125,7.688583540662876,6.79390113913621
2014.0,1.8844068885750858,6.956804607632876,22.426585445284218,7.228473417512362,7.740009716504119,6.8126800581491125
2015.0,1.8689073728469339,6.909746154608001,22.496084744184373,7.242381201433091,7.792639648593649,6.831968019264309
2016.0,1.8530180002786665,6.861480757761001,22.566949178074537,7.256466629730255,7.846473336928739,6.851765022481345
2017.0,1.8367387708697152,6.812008417092329,22.63917874695244,7.270729702403969,7.9015107815121155,6.872071067799993
2018.0,1.8200696846208757,6.761329132601077,22.71277345081853,7.285170419454062,7.957751982342415,6.892886155220708
2019.0,1.8030107415315797,6.709442904287698,22.78773328967418,7.29978878088059,8.015196939418274,6.9142102847432625
2020.0,1.7855619416018271,6.656349732152648,22.864058263517563,7.314584786683554,8.07384565274242,6.936043456367656
2021.0,1.7677232848318454,6.6020496161954725,22.941748372350503,7.32955843686301,8.13369812231258,6.9583856700938895
2022.0,1.749494771221407,6.5465425564161706,23.02080361617118,7.344709731419016,8.194754348130573,6.981236925921962
